Player,Pos,Team,FPTS,Rank,Tier,ADP,ECR,Best,Worst,Std Dev
Josh Allen,QB,BUF,350.2,1,1,30.0,1.0,1,5,4.2
Lamar Jackson,QB,BAL,340.8,2,1,50.0,2.0,1,8,5.1
Patrick Mahomes,QB,KC,335.3,3,1,55.0,3.0,2,10,5.8
Jalen Hurts,QB,PHI,330.1,4,1,40.0,4.0,3,12,6.2
Justin Herbert,QB,LAC,325.7,5,1,45.0,5.0,4,15,6.8
Dak Prescott,QB,DAL,320.4,6,2,60.0,6.0,5,18,7.1
Kyler Murray,QB,ARI,315.9,7,2,65.0,7.0,6,20,7.5
Trevor Lawrence,QB,JAX,310.2,8,2,70.0,8.0,7,22,7.8
Tua Tagovailoa,QB,MIA,305.8,9,2,75.0,9.0,8,25,8.1
Sam Howell,QB,SEA,300.5,10,2,80.0,10.0,9,28,8.5
C.J. Stroud,QB,HOU,295.3,11,2,85.0,11.0,10,30,8.8
Brock Purdy,QB,SF,290.1,12,2,90.0,12.0,11,32,9.1
Jordan Love,QB,GB,285.7,13,3,95.0,13.0,12,35,9.5
Baker Mayfield,QB,TB,280.4,14,3,100.0,14.0,13,38,9.8
Geno Smith,QB,SEA,275.1,15,3,105.0,15.0,14,40,10.1
Jared Goff,QB,DET,270.8,16,3,110.0,16.0,15,42,10.5
Derek Carr,QB,NO,265.5,17,3,115.0,17.0,16,45,10.8
Russell Wilson,QB,PIT,260.2,18,3,120.0,18.0,17,48,11.1
Kirk Cousins,QB,ATL,255.9,19,3,125.0,19.0,18,50,11.5
Deshaun Watson,QB,CLE,250.6,20,3,130.0,20.0,19,52,11.8 
