"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Saquon Barkley","PHI","327.8","1,661.5","10.8","41.9","318.2","2.2","1.4","273.1"
"Bijan Robinson","ATL","299.3","1,401.2","11.3","56.9","428.2","2.1","1.4","260.6"
"Jahmyr Gibbs","DET","239.9","1,239.5","11.7","57.7","508.8","2.8","1.3","258.9"
"Derrick Henry","BAL","295.2","1,508.5","13.3","16.4","153.1","0.9","1.4","248.4"
"Christian McCaffrey","SF","233.2","1,062.6","7.9","65.1","570.1","3.6","1.8","228.4"
"Josh Jacobs","GB","284.2","1,211.8","11.3","38.1","316.0","1.5","1.5","226.1"
"De'Von Achane","MIA","218.6","1,014.8","7.6","69.1","510.8","4.1","1.3","220.2"
"Ashton Jeanty","LV","273.0","1,204.0","9.0","46.3","366.3","1.9","2.4","217.4"
"Jonathan Taylor","IND","297.7","1,359.2","9.6","25.7","194.4","1.1","1.6","216.5"
"Kyren Williams","LAR","275.7","1,192.4","11.2","33.7","213.8","1.7","2.3","213.0"
"Bucky Irving","TB","234.7","1,110.7","8.3","44.4","343.3","1.7","1.4","202.5"
"Chase Brown","CIN","234.6","984.0","7.8","54.0","377.5","2.7","1.4","196.3"
"James Cook","BUF","222.0","1,049.7","9.5","31.4","258.5","1.9","1.4","196.1"
"James Conner","ARI","213.9","971.1","7.8","41.2","314.9","1.7","1.4","182.6"
"Breece Hall","NYJ","224.5","1,000.0","5.9","46.7","383.8","2.1","1.9","182.6"
"Kenneth Walker III","SEA","234.8","968.3","8.2","43.3","309.2","1.3","1.3","182.0"
"Alvin Kamara","NO","215.5","903.5","5.1","63.0","475.6","2.0","1.3","178.0"
"Omarion Hampton","LAC","213.0","938.2","8.3","36.4","281.4","1.6","2.1","177.0"
"Chuba Hubbard","CAR","229.8","1,031.9","7.6","37.8","229.8","1.1","1.8","174.3"
"D'Andre Swift","CHI","238.7","967.1","6.1","36.7","283.0","1.2","1.1","167.0"
"David Montgomery","DET","196.6","819.0","8.9","31.4","258.5","0.9","1.0","164.5"
"Aaron Jones Sr.","MIN","201.6","903.1","4.6","44.3","327.8","2.2","1.8","160.4"
"Joe Mixon","HOU","206.7","822.4","7.5","33.4","258.6","1.3","0.9","159.2"
"Tony Pollard","TEN","227.5","958.5","5.4","40.2","257.9","0.9","1.0","157.2"
"TreVeyon Henderson","NE","202.4","891.8","5.7","33.3","258.5","1.5","1.7","154.8"
"Brian Robinson Jr.","WAS","196.7","809.6","7.3","23.4","175.7","1.0","1.4","145.6"
"Kaleb Johnson","PIT","202.7","858.1","6.6","23.2","178.1","1.0","1.7","145.6"
"Isiah Pacheco","KC","203.7","838.2","5.7","32.9","222.6","1.0","1.0","144.6"
"RJ Harvey","DEN","174.0","761.6","5.2","33.6","257.3","1.6","1.0","140.9"
"Tyrone Tracy Jr.","NYG","188.6","801.6","5.0","35.2","259.4","1.1","1.6","139.1"
"Jaylen Warren","PIT","148.8","677.1","3.8","47.1","343.1","1.1","1.0","129.0"
"J.K. Dobbins","DEN","148.4","657.8","4.9","29.2","187.9","1.2","1.2","118.9"
"Javonte Williams","DAL","174.9","645.7","4.2","35.9","229.1","1.1","0.9","117.4"
"Jordan Mason","MIN","160.4","739.8","4.4","17.4","127.1","0.7","0.7","116.3"
"Rhamondre Stevenson","NE","156.7","636.8","4.8","28.0","177.2","1.1","1.5","113.5"
"Travis Etienne Jr.","JAC","141.1","577.1","3.7","37.6","277.5","1.2","0.9","112.6"
"Austin Ekeler","WAS","95.3","414.8","4.1","44.9","367.0","1.8","1.0","111.2"
"Zach Charbonnet","SEA","126.7","536.0","4.5","33.2","244.8","0.9","0.8","108.8"
"Quinshon Judkins","CLE","151.9","641.5","4.0","22.4","169.7","0.9","1.2","108.2"
"Najee Harris","LAC","141.4","567.3","5.0","22.0","159.2","0.8","0.8","105.7"
"Rachaad White","TB","114.5","462.5","2.8","37.6","282.8","2.1","1.3","101.7"
"Tyjae Spears","TEN","124.6","498.2","3.7","33.6","251.9","1.0","0.9","101.3"
"Cam Skattebo","NYG","129.4","555.6","3.6","24.8","190.6","0.9","1.2","99.3"
"Tank Bigsby","JAC","151.8","612.8","5.0","11.2","81.1","0.2","1.2","98.1"
"Trey Benson","ARI","138.1","600.5","3.9","13.9","104.7","0.5","0.9","95.5"
"Jerome Ford","CLE","120.0","511.5","2.8","28.4","193.5","0.9","0.8","90.9"
"Ray Davis","BUF","118.8","499.5","3.7","12.4","105.5","1.0","0.8","87.1"
"Dylan Sampson","CLE","118.7","480.9","2.7","23.3","178.9","0.9","0.8","85.8"
"Jaydon Blue","DAL","109.2","476.9","2.9","19.3","150.7","0.8","0.8","83.2"
"Tyler Allgeier","ATL","117.3","540.8","3.2","12.7","92.3","0.3","0.8","83.1"
"Nick Chubb","HOU","118.9","484.3","3.8","9.9","75.6","0.7","0.5","82.0"
"Isaac Guerendo","SF","113.1","488.7","3.9","10.6","93.2","0.4","0.9","81.9"
"Rico Dowdle","CAR","107.3","459.1","2.6","20.9","143.0","1.1","0.8","80.9"
