"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Brock Bowers","LV","106.0","1,131.4","6.1","0.5","149.7"
"George Kittle","SF","76.1","1,037.1","7.5","0.5","147.6"
"Trey McBride","ARI","104.4","1,053.2","5.8","0.5","139.4"
"Mark Andrews","BAL","59.9","721.0","7.8","0.8","117.3"
"Sam LaPorta","DET","67.9","763.9","6.7","0.4","115.6"
"T.J. Hockenson","MIN","76.3","799.1","4.6","0.5","106.6"
"Travis Kelce","KC","80.8","760.3","5.3","0.9","106.0"
"David Njoku","CLE","76.6","736.1","4.8","0.8","101.1"
"Tucker Kraft","GB","55.2","652.8","4.8","0.8","92.5"
"Tyler Warren","IND","57.9","647.4","4.3","1.1","88.6"
"Dallas Goedert","PHI","57.2","633.4","3.9","0.5","85.8"
"Zach Ertz","WAS","58.1","539.4","5.1","0.1","84.2"
"Dalton Kincaid","BUF","57.1","603.2","4.0","0.5","83.6"
"Evan Engram","DEN","69.1","614.2","4.0","0.9","83.4"
"Kyle Pitts Sr.","ATL","47.8","602.4","3.8","0.1","83.2"
"Jake Ferguson","DAL","67.7","621.1","3.8","1.2","82.5"
"Hunter Henry","NE","55.4","574.6","3.6","0.4","78.5"
"Darren Waller","MIA","52.6","579.5","3.4","0.1","77.9"
"Isaiah Likely","BAL","41.4","495.5","4.8","0.7","77.0"
"Jonnu Smith","PIT","52.2","544.5","4.0","0.9","76.7"
"Colston Loveland","CHI","52.8","554.0","3.8","0.8","76.5"
"Cade Otton","TB","52.3","532.3","4.0","0.5","76.0"
"Brenton Strange","JAC","55.2","546.2","3.3","0.5","73.3"
"Mike Gesicki","CIN","52.8","518.3","3.6","0.4","72.7"
"Chig Okonkwo","TEN","53.8","537.2","2.9","0.8","69.9"
"Dalton Schultz","HOU","49.9","516.6","3.1","0.4","69.6"
"Juwan Johnson","NO","48.9","501.0","3.3","0.2","69.5"
"Pat Freiermuth","PIT","51.2","493.6","3.5","0.9","68.7"
"Tyler Higbee","LAR","45.3","425.3","3.7","0.1","64.4"
"Robbie Ouzts","SEA","49.0","479.0","3.0","1.0","63.9"
"Theo Johnson","NYG","43.1","470.0","2.7","0.1","63.0"
"Elijah Arroyo","SEA","41.1","436.0","2.9","0.4","60.1"
"Mason Taylor","NYJ","44.5","449.6","2.6","0.5","59.4"
"Will Dissly","LAC","37.8","369.9","2.5","0.0","51.9"
"Noah Fant","CIN","36.2","370.6","2.4","0.1","51.6"
"Ja'Tavion Sanders","CAR","38.5","388.4","2.1","0.1","51.1"
"Tyler Conklin","LAC","36.4","352.2","2.5","0.1","49.8"
"AJ Barner","SEA","32.4","302.7","2.4","0.1","44.3"
"Noah Gray","KC","28.2","284.8","2.6","0.0","43.8"
"Cole Kmet","CHI","30.0","288.6","2.3","0.4","41.7"
"Foster Moreau","NO","23.0","259.9","1.9","0.1","37.2"
"Austin Hooper","NE","26.8","264.0","1.7","0.4","35.7"
"Dawson Knox","BUF","21.9","238.0","1.9","0.0","35.3"
"Michael Mayer","LV","27.7","257.3","1.6","0.1","35.2"
"Terrance Ferguson","LAR","23.0","235.5","1.9","0.4","34.1"
"Harold Fannin Jr.","CLE","23.7","234.3","1.2","0.4","30.0"
"Ben Sinnott","WAS","20.3","199.2","1.6","0.1","29.5"
"Josh Oliver","MIN","18.2","192.7","1.5","0.1","28.4"
"Tommy Tremble","CAR","19.2","185.4","1.7","0.4","28.0"
"Luke Musgrave","GB","19.1","186.4","1.4","0.0","27.1"
"Brock Wright","DET","15.0","134.8","2.2","0.0","26.4"
"Oronde Gadsden II","LAC","16.5","168.9","1.4","0.0","25.1"
"Taysom Hill","NO","12.3","104.7","0.7","0.3","24.8"
"Jeremy Ruckert","NYJ","18.7","161.4","1.2","0.0","23.4"
"Adam Trautman","DEN","12.6","136.7","1.4","0.0","21.8"
"Gunnar Helm","TEN","16.4","163.3","0.9","0.4","20.9"
