"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Ja'Marr Chase","CIN","120.7","1,577.6","12.2","1.6","12.7","0.0","0.6","231.2"
"Justin Jefferson","MIN","106.4","1,478.7","9.7","0.5","2.2","0.0","0.6","205.1"
"CeeDee Lamb","DAL","111.7","1,391.5","8.0","9.2","59.4","0.3","1.0","193.0"
"Puka Nacua","LAR","105.7","1,374.1","7.0","10.7","61.4","0.6","0.6","187.7"
"Nico Collins","HOU","92.0","1,313.4","8.9","0.0","1.6","0.0","0.5","183.5"
"Malik Nabers","NYG","106.6","1,338.2","8.2","2.6","12.2","0.0","0.6","183.3"
"Brian Thomas Jr.","JAC","91.6","1,285.4","8.6","3.8","25.1","0.0","0.6","181.4"
"Amon-Ra St. Brown","DET","110.4","1,267.6","9.1","1.9","12.6","0.1","0.9","180.8"
"A.J. Brown","PHI","84.8","1,244.6","8.4","0.0","0.0","0.0","0.9","172.8"
"Tyreek Hill","MIA","94.2","1,184.5","7.7","7.2","40.3","0.1","0.6","168.5"
"Drake London","ATL","94.5","1,204.7","7.9","0.3","2.0","0.0","0.6","167.1"
"Ladd McConkey","LAC","91.3","1,219.0","7.4","0.0","1.4","0.0","0.7","165.2"
"Mike Evans","TB","79.2","1,063.4","9.9","0.0","0.0","0.0","0.5","164.5"
"Tee Higgins","CIN","86.6","1,093.9","8.9","0.0","0.0","0.0","0.9","161.1"
"Terry McLaurin","WAS","83.6","1,115.2","8.2","1.1","4.8","0.0","0.9","159.7"
"Davante Adams","LAR","85.4","1,101.6","8.3","0.3","0.0","0.0","0.5","159.2"
"Marvin Harrison Jr.","ARI","79.6","1,098.9","7.7","0.0","3.2","0.0","1.0","154.5"
"DK Metcalf","PIT","76.8","1,128.9","7.3","0.0","1.2","0.0","1.3","154.0"
"Jaxon Smith-Njigba","SEA","94.9","1,112.0","6.6","2.6","17.7","0.0","0.6","151.6"
"Xavier Worthy","KC","70.5","864.2","7.1","15.7","84.6","1.5","0.5","145.6"
"Zay Flowers","BAL","74.9","1,028.7","6.3","8.2","48.4","0.1","0.5","145.2"
"Garrett Wilson","NYJ","91.7","1,095.9","6.0","1.9","13.5","0.0","1.3","144.5"
"Courtland Sutton","DEN","76.7","1,016.3","7.4","0.0","0.2","0.0","0.9","144.3"
"DJ Moore","CHI","86.7","1,007.6","6.3","9.5","54.0","0.1","0.9","142.7"
"Calvin Ridley","TEN","70.1","1,027.0","6.0","5.6","33.4","0.3","0.9","141.9"
"Jameson Williams","DET","60.4","958.2","6.0","7.4","63.4","0.8","0.5","141.6"
"DeVonta Smith","PHI","81.2","977.6","6.8","0.3","1.2","0.0","0.5","137.7"
"George Pickens","DAL","68.4","999.9","6.4","1.0","6.2","0.0","0.9","137.1"
"Jerry Jeudy","CLE","80.9","1,088.1","4.1","0.3","4.8","0.0","0.6","132.7"
"Deebo Samuel Sr.","WAS","65.1","834.4","5.1","30.1","127.9","1.2","1.0","132.2"
"Jakobi Meyers","LV","82.4","966.3","5.3","1.2","8.9","0.0","0.5","128.5"
"Jaylen Waddle","MIA","75.5","965.1","4.9","2.5","15.9","0.1","0.5","126.6"
"Jauan Jennings","SF","70.1","924.4","5.5","3.6","15.7","0.1","0.6","126.3"
"Jayden Reed","GB","58.6","783.8","5.7","11.8","93.7","0.7","0.9","124.7"
"Matthew Golden","GB","61.4","867.6","6.0","0.7","11.8","0.0","0.8","122.2"
"Travis Hunter","JAC","68.3","883.1","5.2","3.8","21.8","0.1","0.8","120.7"
"Tetairoa McMillan","CAR","70.3","907.2","5.3","0.5","7.4","0.0","1.2","120.7"
"Chris Godwin","TB","75.0","862.2","5.6","1.2","6.9","0.0","0.6","119.6"
"Rome Odunze","CHI","65.6","880.3","5.4","1.3","8.0","0.0","0.9","119.2"
"Keon Coleman","BUF","52.4","822.5","6.1","0.3","3.8","0.0","0.5","118.3"
